feature,log2FC,pval,qval
EC4-1-2-43,1.65892984,0.009582424,0.045633946
EC1-14-12-17,2.982267054,0.009789107,0.046500074
EC2-1-1-63,0.243021718,0.009812162,0.046500074
EC4-1-99-22,0.588627575,0.009873379,0.046676341
EC3-2-1-82,-1.273983706,0.009909562,0.046733685
EC1-1-1-38,1.975915817,0.009960096,0.046856231
EC2-8-3-10,1.045314531,0.009983778,0.046856231
EC2-1-1-148,-0.794971143,0.010053851,0.047071405
EC1-1-1-30,2.102246716,0.010212852,0.047359357
EC2-6-1-76,-2.205738969,0.010189117,0.047359357
EC3-4-13-19,2.37587309,0.010159506,0.047359357
EC3-5-1-14,1.605812249,0.01019033,0.047359357
EC2-7-7-7,0.231497955,0.010391026,0.047900145
EC2-7-8-13,0.318928759,0.010403428,0.047900145
EC4-2-1-32,0.724826778,0.010399164,0.047900145
EC1-2-1-2,1.263170007,0.0104519,0.048009556
EC4-2-1-7,2.310567751,0.010485586,0.048050693
EC2-7-7-89,2.292100839,0.010661607,0.048742357
EC2-4-2-14,0.223479991,0.010831081,0.049400915
EC2-7-8-36,-2.278232197,0.010902306,0.049609323
EC3-5-4-13,2.21669125,0.011001326,0.049826517
EC4-1-99-2,-1.659223784,0.010986452,0.049826517
EC4-2-1-119,2.857763348,0.011036611,0.049870081
EC2-7-1-176,1.891942981,0.011153028,0.050279195
UNGROUPED,0.068299346,0.01132908,0.050954636
EC2-1-1-171,0.774804582,0.011505315,0.051627777
EC4-1-2-21,2.155822132,0.011563933,0.051771247
EC3-2-1-39,-2.150361773,0.011669462,0.052004047
EC3-6-3-12,0.848331744,0.011643399,0.052004047
EC1-1-1-140,1.830829699,0.011800171,0.052466207
EC2-3-1-174,2.782921989,0.011843519,0.052538717
EC6-3-1-2,0.352494074,0.012002581,0.053123042
EC2-7-1-121,1.94905598,0.012046271,0.053195238
EC1-4-3-19,1.880555302,0.012453631,0.0541532
EC2-7-6-5,0.562789159,0.012458302,0.0541532
EC3-1-3-23,1.417573274,0.01232276,0.0541532
EC3-5-1-1,0.797547136,0.012444254,0.0541532
EC4-1-1-33,1.952755251,0.012392572,0.0541532
EC4-1-1-5,2.119398009,0.012313175,0.0541532
EC4-2-1-42,0.814692088,0.012434367,0.0541532
EC3-5-1-104,-1.987486545,0.012917104,0.056022172
EC2-7-7-80,1.160665282,0.012983183,0.056183351
EC2-7-7-42,2.540479105,0.013060117,0.056390684
EC1-4-1-14,-1.522864807,0.013187151,0.056812937
EC3-6-3-8,0.71817743,0.013378793,0.057511051
EC4-4-1-1,-1.410719845,0.013444047,0.057663979
EC1-9-3-1,2.102309288,0.01351443,0.057708941
EC2-7-1-35,0.387766407,0.013538826,0.057708941
EC2-7-1-39,0.518532045,0.013596963,0.057708941
EC2-8-3-6,2.595321616,0.013603034,0.057708941
EC5-4-3-6,-1.12038278,0.013583345,0.057708941
EC4-4-1-5,0.647243269,0.013825932,0.058526766
EC4-1-99-18,1.041928213,0.013986385,0.059077272
EC3-5-1-59,1.726939964,0.014084455,0.059362465
EC3-4-21-96,1.841140118,0.014159929,0.05955139
EC1-97-1-12,1.452387817,0.014271056,0.059825286
EC3-1-7-2,1.444856645,0.014286635,0.059825286
EC3-1-1-47,1.788823732,0.014375864,0.060069469
EC3-7-1-14,2.955592424,0.014424935,0.06014517
EC3-2-2-20,0.722756566,0.014616566,0.060813677
EC3-1-13-1,0.228449615,0.014781582,0.061368833
EC2-7-7-8,-0.267584548,0.014843075,0.061492738
EC1-1-1-27,0.468434062,0.015123131,0.062100877
EC1-1-1-4,1.86749777,0.015148893,0.062100877
EC1-14-13-127,2.531284911,0.01513804,0.062100877
EC1-2-3-1,-0.566170602,0.015101504,0.062100877
EC2-3-1-30,0.260743759,0.015149674,0.062100877
EC2-7-1-6,0.499337109,0.015274737,0.062481712
EC2-3-1-8,0.674269452,0.015397839,0.062721177
EC3-5-99-3,2.067946669,0.015375101,0.062721177
EC1-5-1-30,1.631071605,0.015435627,0.062743564
EC3-6-3-41,1.598817372,0.015526955,0.062983033
EC1-2-1-58,1.57265945,0.01572254,0.06364353
EC1-3-99-4,-1.78323628,0.015979867,0.064504237
EC1-4-1-9,1.813328036,0.016001566,0.064504237
EC3-5-1-19,2.127336489,0.016122441,0.064856941
EC3-5-1-23,-0.936535799,0.016242408,0.065204543
EC2-1-1-8,-1.147751171,0.016321652,0.065387568
EC2-4-2-53,0.787283891,0.016428385,0.065599002
EC3-5-1-94,1.93179885,0.016475714,0.065599002
EC4-2-3-1,0.390978526,0.016472831,0.065599002
EC1-8-1-4,0.766587797,0.016556668,0.065763917
EC2-6-1-5,1.487824314,0.016584827,0.065763917
EC2-1-1-74,-0.623168479,0.016773155,0.066375234
